Adduct,m/z,CCS(Å2),Charge,Instrument,Type,Approach,Calibrant,DOI,Update date,ID
[M+H]+,341.1682,182.8,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00903992
[M+H]+,341.1682,182.9,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00903992
[M+Na]+,363.1502,191.8,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00903992
[M+H]+,134.0713,125.6,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1007/s00216-016-9820-5,2021-02-25,AllCCS00914678
[M-H]-,698.9174,203.7,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00915875
[M+H]+,320.2009,183.9,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00917006
[M+H]+,336.1958,187.6,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00917007
[M+Na]+,358.1778,200.2,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00917007
[M+H]+,340.1463,185.2,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00917008
[M+Na]+,362.1283,200.3,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00917008
[M+H]+,428.0717,182.6,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00920066
[M+H]+,247.1805,158.3,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00923066
[M+H]+,134.0713,125.1,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1007/s00216-016-9820-5,2021-02-25,AllCCS00925285
[2M+Na-2H]-,725.4246,260.2,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00925382
[2M-H]-,703.4426,258.2,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00925382
[M+CH3COONa-H]-,433.2207,198.4,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00925382
[M-Br+O]-,496.7028,177.0,-1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1016/j.aca.2018.02.054,2021-02-24,AllCCS00936444
[M-CO2-H]-,268.9829,125.1,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00937572
[M+H]+,376.0163,181.0,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00941313
[M+H]+,446.0352,185.9,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00941412
[M+H]+,446.0352,184.5,1,Waters Vion IMS QTOF,TWIMS,Empirical method,Modified PolyAla mix,https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00941412
[M+Na]+,468.0172,194.5,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00941412
[M+Na]+,468.0172,190.9,1,Waters Vion IMS QTOF,TWIMS,Empirical method,Modified PolyAla mix,https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00941412
[M+H]+,373.0408,169.4,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00941755
[M+H]+,409.0645,183.0,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00941873
[M+Na]+,431.0465,195.2,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00941873
[M+H]+,340.1126,173.4,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00942634
[M+Cl]-,448.0003,197.7,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943023
[M+H]+,414.0383,183.9,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943023
[M+Na]+,436.0203,190.3,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943023
[M-H]-,412.0237,191.1,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943023
[M+H]+,265.0375,157.6,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00943430
[M+H]+,265.0375,156.0,1,Waters Vion IMS QTOF,TWIMS,Empirical method,Modified PolyAla mix,https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00943430
[M+Na]+,287.0195,179.6,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b02711,2021-02-24,AllCCS00943430
[M+Cl]-,394.1503,200.0,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943748
[M+HCOO]-,404.1791,202.4,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943748
[M+H]+,360.1882,184.7,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943748
[M+Na]+,382.1702,194.6,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943748
[M-H]-,358.1736,194.4,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00943748
[M-CO2-H]-,168.9893,110.8,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00945137
[M+H]+,434.0977,193.5,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00946609
[M+H]+,434.0977,188.7,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00946609
[M+Na]+,456.0797,192.3,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00946609
[M-CO2-H]-,668.9574,187.6,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00960386
[M-H]-,712.9472,209.2,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00960386
[M+H]+,279.0934,163.3,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1007/s00216-016-9820-5,2021-02-25,AllCCS00967330
[M+H]+,380.2180,193.0,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1039/c8an00056e,2021-02-23,AllCCS00971817
[M-H]-,378.2034,194.5,-1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1039/c8an00056e,2021-02-23,AllCCS00971817
[2M+Na-2H]-,661.4449,259.7,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00985805
[2M-H]-,639.4630,257.5,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00985805
[M+CH3COONa-H]-,401.2309,198.9,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00985805
[M-CO2-H]-,218.9861,117.4,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS00986882
[M+H]+,321.0364,165.2,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS01031227
[M+H]+,321.0364,165.8,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS01031227
[M-H]-,426.9679,168.1,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS01032143
[M+H]+,132.1019,127.5,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.6b04171,2021-02-25,AllCCS01036779
[M-CO2-H]-,318.9797,132.4,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS01037380
[M+H]+,234.1601,162.8,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS01043968
[2M+Na-2H]-,665.4762,262.3,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS01046065
[M+CH3COONa-H]-,403.2465,200.9,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS01046065
[2M+Na-2H]-,661.4449,260.7,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS01046066
[2M-H]-,639.4630,256.6,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS01046066
[M+CH3COONa-H]-,401.2309,200.0,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS01046066
[2M+Na]+,951.4713,316.6,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b05117,2021-03-24,AllCCS01064933
[M+Na]+,487.2303,232.6,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,PolyAla mix,https://doi.org/10.1016/j.acax.2019.100006,2021-02-25,AllCCS01064933
[M+Na]+,487.2303,231.6,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b05117,2021-03-24,AllCCS01064933
[M-C6H8O6-2H2O+H]+,253.1951,162.0,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b05117,2021-03-24,AllCCS01064933
[M-C6H8O6-H2O+H]+,271.2057,168.2,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b05117,2021-03-24,AllCCS01064933
[M-H]-,463.2337,221.2,-1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,PolyAla mix,https://doi.org/10.1016/j.acax.2019.100006,2021-02-25,AllCCS01064933
[M-CO2-H]-,768.9510,203.7,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS01071266
[M-H]-,812.9409,226.1,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.9b05364,2021-02-23,AllCCS01071266
[M+H]+,369.1849,200.9,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS01088038
[M+H]+,390.9472,188.7,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS01095610
[M+Na]+,412.9292,202.9,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS01095610
[M-H]-,554.2620,219.4,1,Waters Synapt G2 HDMS,TWIMS,Empirical method,PolyAla mix,https://doi.org/10.1039/C5AN00946D,2021-02-25,AllCCS01096730
[M-H]-,554.2620,219.6,-1,Waters Synapt G2 HDMS,TWIMS,Empirical method,PolyMa mix,https://doi.org/10.1039/C5AN00946D,2021-02-25,AllCCS01096730
[M+H]+,215.0597,150.2,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1039/c8an00056e,2021-02-23,AllCCS01107109
[M-H]-,213.0451,149.5,-1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1039/c8an00056e,2021-02-23,AllCCS01107109
